Patch ID,Bulletin ID,Patch Description,Patch Status,Computer Name,KB Number,Release Date,Vendor
19946,MS16-019,"Security Update for Microsoft .NET Framework 4.6 .NET Framework 4.6.1 on Windows 7 Service Pack 1, Windows Server 2008 R2 Service Pack 1, Windows Vista Service Pack 2, and Windows Server 2008 Service Pack 2 (KB3122661)",Missing,T8WEBT2,3122661,"Feb 9, 2016",Microsoft
19962,MS16-019,"Security Update for Microsoft .NET Framework 4.6 .NET Framework 4.6.1 on Windows 7 Service Pack 1, Windows Server 2008 R2 Service Pack 1, Windows Vista Service Pack 2, and Windows Server 2008 Service Pack 2 (KB3127233)",Missing,T8WEBT1,3127233,"Feb 9, 2016",Microsoft
19962,MS16-019,"Security Update for Microsoft .NET Framework 4.6 .NET Framework 4.6.1 on Windows 7 Service Pack 1, Windows Server 2008 R2 Service Pack 1, Windows Vista Service Pack 2, and Windows Server 2008 Service Pack 2 (KB3127233)",Missing,T8WEBT2,3127233,"Feb 9, 2016",Microsoft
20289,MS16-035,Security Update for Microsoft .NET Framework 4.6 (KB3136000),Missing,T8WEBT1,3136000,"Mar 8, 2016",Microsoft
20289,MS16-035,Security Update for Microsoft .NET Framework 4.6 (KB3136000),Missing,T8WEBT2,3136000,"Mar 8, 2016",Microsoft
20418,MS16-041,"Security Update for Microsoft .NET Framework 4.6 and .NET Framework 4.6.1 on Windows 7 Service Pack 1, Windows Server 2008 R2 Service Pack 1, Windows Vista Service Pack 2, and Windows Server 2008 Service Pack 2 (KB3143693)",Missing,T8WEBT1,3143693,"Apr 12, 2016",Microsoft
20418,MS16-041,"Security Update for Microsoft .NET Framework 4.6 and .NET Framework 4.6.1 on Windows 7 Service Pack 1, Windows Server 2008 R2 Service Pack 1, Windows Vista Service Pack 2, and Windows Server 2008 Service Pack 2 (KB3143693)",Missing,T8WEBT2,3143693,"Apr 12, 2016",Microsoft
21685,MS16-130,Security Update for Windows Server 2008 (KB3193418),Missing,T8CTSP1,3193418,"Nov 8, 2016",Microsoft
21689,MS16-130,Security Update for Windows Server 2008 (KB3196718),Missing,T8CTSP1,3196718,"Nov 8, 2016",Microsoft
21853,MS16-146,Security Update for Windows Server 2008 (KB3205638),Missing,T8CTSP1,3205638,"Dec 13, 2016",Microsoft
22041,MS17-006,Security Update for Windows Server 2008 (KB3218362),Missing,T8CTSP1,3218362,"Mar 14, 2017",Microsoft
22077,MS17-012,Security Update for Windows Server 2008 (KB3217587),Missing,T8CTSP1,3217587,"Mar 14, 2017",Microsoft
22088,MS17-013,Security Update for Windows Server 2008 (KB4012584),Missing,T8CTSP1,4012584,"Mar 14, 2017",Microsoft
22286,MS17-APR7,Security Update for Windows Server 2008 (KB4014794),Missing,T8CTSP1,4014794,"Apr 10, 2017",Microsoft
22290,MS17-APR7,Security Update for Windows Server 2008 (KB4015067),Missing,T8CTSP1,4015067,"Apr 10, 2017",Microsoft
22329,MS17-APR7,Security Update for Windows Server 2008 (KB4014652),Missing,T8CTSP1,4014652,"Apr 10, 2017",Microsoft
22386,MS17-MAY4,"May, 2017 Security Only Update for .NET Framework 2.0 on Windows Server 2008 SP2 (KB4014575)",Missing,T8CTSP1,4014575,"May 9, 2017",Microsoft
22525,MS17-MAY6,Security Update for Windows Server 2008 (KB4018556),Missing,T8CTSP1,4018556,"May 31, 2017",Microsoft
22527,MS17-MAY6,Security Update for Windows Server 2008 (KB4018821),Missing,T8CTSP1,4018821,"May 31, 2017",Microsoft
22531,MS17-MAY6,Security Update for Windows Server 2008 (KB4018927),Missing,T8CTSP1,4018927,"May 31, 2017",Microsoft
22548,MS17-MAY6,Security Update for Windows Server 2003 for x64-based Systems (KB4018466),Missing,T3TSMP1,4018466,"Dec 20, 2019",Microsoft
22549,MS17-MAY6,Security Update for Windows Server 2003 (KB4018466),Missing,T3APPP1,4018466,"Dec 20, 2019",Microsoft
22549,MS17-MAY6,Security Update for Windows Server 2003 (KB4018466),Missing,T3FILP1,4018466,"Dec 20, 2019",Microsoft
22549,MS17-MAY6,Security Update for Windows Server 2003 (KB4018466),Missing,T3TELP4,4018466,"Dec 20, 2019",Microsoft
22549,MS17-MAY6,Security Update for Windows Server 2003 (KB4018466),Missing,T3TELP2,4018466,"Dec 20, 2019",Microsoft
22549,MS17-MAY6,Security Update for Windows Server 2003 (KB4018466),Missing,T3SECP1,4018466,"Dec 20, 2019",Microsoft
22549,MS17-MAY6,Security Update for Windows Server 2003 (KB4018466),Missing,T3FILP3,4018466,"Dec 20, 2019",Microsoft
22556,MS17-JUN2,Security Update for Windows Server 2008 (KB4022884),Missing,T8CTSP1,4022884,"Jun 12, 2017",Microsoft
