Computer_Name,Software_Name,Software_Version,Software_Installed_Date
MXBC003W0059,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0059,Trend Micro OfficeScan Agent,12.0.1988,20200805
MXBC003W0061,Trend Micro Apex One Security Agent,14.0.8378,
MXBC003W0061,Trend Micro OfficeScan Agent,14.0.8378,20191001
MXBC003W0062,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0062,Trend Micro OfficeScan Agent,12.0.1988,20190923
MXBC003W0063,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0063,Trend Micro OfficeScan Agent,12.0.1988,20191021
MXBC003W0068,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0068,Trend Micro OfficeScan Agent,12.0.1988,20190801
MXBC003W0072,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0072,Trend Micro OfficeScan Agent,12.0.1988,20190923
MXBC003W0073,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0073,Trend Micro OfficeScan Agent,12.0.1988,20200805
MXBC003W0074,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0074,Trend Micro OfficeScan Agent,12.0.1988,20190927
MXBC003W0075,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0075,Trend Micro OfficeScan Agent,12.0.1988,20190628
MXBC003W0076,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0076,Trend Micro OfficeScan Agent,12.0.1988,20200611
MXBC003W0077,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0077,Trend Micro OfficeScan Agent,12.0.1988,20180903
MXBC003W0080,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0080,Trend Micro OfficeScan Agent,12.0.1988,20191018
MXBC003W0083,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0083,Trend Micro OfficeScan Agent,12.0.1988,20191016
MXBC003W0086,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0086,Trend Micro OfficeScan Agent,12.0.1988,20200804
MXBC003W0088,Trend Micro OfficeScan Agent,12.0.1988,
MXBC003W0088,Trend Micro OfficeScan Agent,12.0.1988,20190429
MXBC003W0089,Trend Micro OfficeScan Agent,12.0.1988,
